iter	Passed	Remaining
564	1377	1060
565	1378	1057
566	1380	1054
567	1381	1050
568	1382	1047
569	1384	1044
570	1385	1040
571	1386	1037
572	1388	1034
573	1389	1031
574	1390	1028
575	1392	1024
576	1393	1021
577	1396	1019
578	1397	1016
579	1399	1013
580	1401	1010
581	1402	1007
582	1404	1004
583	1405	1001
584	1406	998
585	1408	994
586	1409	991
587	1410	988
588	1412	985
589	1413	982
590	1414	979
591	1416	976
592	1418	973
593	1419	970
594	1421	967
595	1422	964
596	1423	961
597	1425	958
598	1426	955
599	1427	951
600	1429	948
601	1430	945
602	1432	942
603	1433	939
604	1435	936
605	1436	933
606	1437	930
607	1439	928
608	1441	925
609	1443	922
610	1444	919
611	1446	917
612	1448	914
613	1449	911
614	1451	908
615	1452	905
616	1453	902
617	1455	899
618	1456	896
619	1457	893
620	1459	890
621	1460	887
622	1462	885
623	1464	882
624	1465	879
625	1466	876
626	1468	873
627	1469	870
628	1470	867
629	1472	864
630	1473	861
631	1474	858
632	1475	855
633	1477	852
634	1478	850
635	1480	847
636	1481	844
637	1483	841
638	1484	838
639	1486	836
640	1487	833
641	1488	830
642	1490	827
643	1491	824
644	1492	821
645	1494	818
646	1495	815
647	1496	813
648	1498	810
649	1499	807
650	1500	804
651	1502	801
652	1503	798
653	1505	796
654	1507	793
655	1508	791
656	1509	788
657	1511	785
658	1512	782
659	1513	779
660	1515	777
661	1516	774
662	1518	771
663	1519	768
664	1520	766
665	1522	763
666	1523	760
667	1524	757
668	1526	755
669	1528	752
670	1530	750
671	1531	747
672	1533	745
673	1534	742
674	1537	740
675	1541	738
676	1543	736
677	1545	733
678	1547	731
679	1552	730
680	1555	728
681	1557	726
682	1559	723
683	1561	721
684	1562	718
685	1563	715
686	1565	713
687	1566	710
688	1567	707
689	1569	704
690	1570	702
691	1574	700
692	1576	698
693	1578	695
694	1579	693
695	1581	690
696	1584	688
697	1585	686
698	1587	683
699	1589	681
700	1590	678
701	1592	675
702	1596	674
703	1598	672
704	1599	669
705	1601	666
706	1603	664
707	1604	661
708	1606	659
709	1607	656
710	1609	654
711	1610	651
712	1611	648
713	1613	646
714	1614	643
715	1618	642
716	1620	639
717	1621	636
718	1622	634
719	1624	631
720	1625	629
721	1627	626
722	1628	623
723	1630	621
724	1631	618
725	1632	616
726	1634	613
727	1635	611
728	1637	608
729	1640	606
730	1642	604
731	1644	602
732	1646	599
733	1647	597
734	1649	594
735	1650	591
736	1651	589
737	1653	586
738	1654	584
739	1655	581
740	1657	579
741	1658	576
742	1659	574
743	1662	572
744	1664	569
745	1666	567
746	1669	565
747	1672	563
748	1674	561
749	1676	558
750	1678	556
751	1679	553
752	1680	551
753	1682	548
754	1685	546
755	1687	544
756	1688	542
757	1690	539
758	1697	538
759	1699	536
760	1700	534
761	1702	531
762	1703	529
763	1705	526
764	1708	524
765	1710	522
766	1712	520
767	1715	518
768	1716	515
769	1718	513
770	1719	510
771	1721	508
772	1722	505
773	1723	503
774	1725	500
775	1726	498
776	1731	496
777	1733	494
778	1734	492
779	1736	489
780	1743	488
781	1745	486
782	1746	484
783	1748	481
784	1749	479
785	1754	477
786	1756	475
787	1757	472
788	1759	470
789	1762	468
790	1765	466
791	1767	464
792	1768	461
793	1770	459
794	1772	456
795	1776	455
796	1778	452
797	1780	450
798	1781	448
799	1783	445
800	1785	443
801	1786	441
802	1787	438
803	1789	436
804	1790	433
805	1791	431
806	1793	428
807	1794	426
808	1797	424
809	1799	422
810	1801	419
811	1802	417
812	1803	414
813	1805	412
814	1806	410
815	1807	407
816	1809	405
817	1810	402
818	1811	400
819	1813	398
820	1814	395
821	1815	393
822	1818	391
823	1820	388
824	1822	386
825	1823	384
826	1824	381
827	1826	379
828	1827	376
829	1828	374
830	1830	372
831	1831	369
832	1833	367
833	1834	365
834	1835	362
835	1837	360
836	1838	358
837	1839	355
838	1842	353
839	1843	351
840	1845	348
841	1848	346
842	1850	344
843	1851	342
844	1852	339
845	1854	337
846	1856	335
847	1857	332
848	1858	330
849	1859	328
850	1861	325
851	1863	323
852	1864	321
853	1866	319
854	1868	316
855	1869	314
856	1870	312
857	1872	309
858	1873	307
859	1874	305
860	1876	302
861	1877	300
862	1878	298
863	1880	295
864	1881	293
865	1883	291
866	1884	289
867	1886	286
868	1887	284
869	1889	282
870	1890	279
871	1891	277
872	1893	275
873	1894	273
874	1895	270
875	1897	268
876	1898	266
877	1899	264
878	1901	261
879	1902	259
880	1903	257
881	1905	254
882	1907	252
883	1908	250
884	1910	248
885	1911	245
886	1912	243
887	1914	241
888	1915	239
889	1916	236
890	1918	234
891	1919	232
892	1920	230
893	1922	227
894	1923	225
895	1924	223
896	1926	221
897	1929	219
898	1932	217
899	1935	215
900	1936	212
901	1938	210
902	1939	208
903	1941	206
904	1942	203
905	1943	201
906	1945	199
907	1946	197
908	1947	195
909	1949	192
910	1950	190
911	1952	188
912	1954	186
913	1955	183
914	1956	181
915	1958	179
916	1959	177
917	1960	175
918	1961	172
919	1963	170
920	1964	168
921	1965	166
922	1967	164
923	1968	161
924	1969	159
925	1971	157
926	1972	155
927	1974	153
928	1975	151
929	1977	148
930	1978	146
931	1980	144
932	1981	142
933	1982	140
934	1984	137
935	1985	135
936	1986	133
937	1988	131
938	1989	129
939	1990	127
940	1992	124
941	1993	122
942	1995	120
943	1997	118
944	1999	116
945	2000	114
946	2002	112
947	2003	109
948	2004	107
949	2006	105
950	2007	103
951	2008	101
952	2010	99
953	2011	96
954	2012	94
955	2014	92
956	2015	90
957	2016	88
958	2018	86
959	2020	84
960	2021	82
961	2023	79
962	2025	77
963	2026	75
964	2028	73
965	2029	71
966	2030	69
967	2032	67
968	2033	65
969	2034	62
970	2036	60
971	2037	58
972	2039	56
973	2041	54
974	2043	52
975	2044	50
976	2045	48
977	2047	46
978	2048	43
979	2049	41
980	2051	39
981	2052	37
982	2054	35
983	2055	33
984	2057	31
985	2058	29
986	2059	27
987	2061	25
988	2063	22
989	2064	20
990	2066	18
991	2067	16
992	2068	14
993	2070	12
994	2071	10
995	2072	8
996	2074	6
997	2075	4
998	2076	2
999	2078	0
